"Variables ->","y","ny"
"Comments ->","Real Gross Domestic Product","Gross Domestic Product: Chain-type Price Index"
"Class[Size] ->","Series[291-by-1]","Series[291-by-1]"
"1947Q1",2.03306100e+03,1.19690000e+01
"1947Q2",2.02763900e+03,1.21320000e+01
"1947Q3",2.02345200e+03,1.23240000e+01
"1947Q4",2.05510300e+03,1.25770000e+01
"1948Q1",2.08601700e+03,1.27220000e+01
"1948Q2",2.12045000e+03,1.28720000e+01
"1948Q3",2.13259800e+03,1.30970000e+01
"1948Q4",2.13498100e+03,1.30920000e+01
"1949Q1",2.10556200e+03,1.30500000e+01
"1949Q2",2.09838000e+03,1.29690000e+01
"1949Q3",2.12004400e+03,1.28760000e+01
"1949Q4",2.10225100e+03,1.28730000e+01
"1950Q1",2.18487200e+03,1.28370000e+01
"1950Q2",2.25150700e+03,1.28910000e+01
"1950Q3",2.33851400e+03,1.31590000e+01
"1950Q4",2.38329100e+03,1.33700000e+01
"1951Q1",2.41566000e+03,1.38210000e+01
"1951Q2",2.45751700e+03,1.39020000e+01
"1951Q3",2.50816600e+03,1.39460000e+01
"1951Q4",2.51369000e+03,1.41300000e+01
"1952Q1",2.54055000e+03,1.41470000e+01
"1952Q2",2.54602200e+03,1.42010000e+01
"1952Q3",2.56440100e+03,1.43080000e+01
"1952Q4",2.64862100e+03,1.43590000e+01
"1953Q1",2.69785500e+03,1.43730000e+01
"1953Q2",2.71870900e+03,1.44070000e+01
"1953Q3",2.70341100e+03,1.44610000e+01
"1953Q4",2.66248200e+03,1.45040000e+01
"1954Q1",2.64975500e+03,1.45650000e+01
"1954Q2",2.65264300e+03,1.45920000e+01
"1954Q3",2.68260100e+03,1.45790000e+01
"1954Q4",2.73509100e+03,1.45980000e+01
"1955Q1",2.81321200e+03,1.46530000e+01
"1955Q2",2.85898800e+03,1.47350000e+01
"1955Q3",2.89759800e+03,1.48360000e+01
"1955Q4",2.91499300e+03,1.49350000e+01
"1956Q1",2.90367100e+03,1.50820000e+01
"1956Q2",2.92766500e+03,1.52240000e+01
"1956Q3",2.92503500e+03,1.53920000e+01
"1956Q4",2.97317900e+03,1.54870000e+01
"1957Q1",2.99221900e+03,1.56640000e+01
"1957Q2",2.98566300e+03,1.57740000e+01
"1957Q3",3.01491900e+03,1.58960000e+01
"1957Q4",2.98372700e+03,1.59890000e+01
"1958Q1",2.90627400e+03,1.61230000e+01
"1958Q2",2.92537900e+03,1.61920000e+01
"1958Q3",2.99306800e+03,1.62310000e+01
"1958Q4",3.06308500e+03,1.62510000e+01
"1959Q1",3.12193600e+03,1.63270000e+01
"1959Q2",3.19238000e+03,1.63730000e+01
"1959Q3",3.19465300e+03,1.64430000e+01
"1959Q4",3.20375900e+03,1.65070000e+01
"1960Q1",3.27575700e+03,1.65380000e+01
"1960Q2",3.25808800e+03,1.65970000e+01
"1960Q3",3.27402900e+03,1.66690000e+01
"1960Q4",3.23200900e+03,1.67420000e+01
"1961Q1",3.25382600e+03,1.67620000e+01
"1961Q2",3.30905900e+03,1.67950000e+01
"1961Q3",3.37258100e+03,1.68300000e+01
"1961Q4",3.43872100e+03,1.68690000e+01
"1962Q1",3.50005400e+03,1.69530000e+01
"1962Q2",3.53168300e+03,1.70000000e+01
"1962Q3",3.57507000e+03,1.70400000e+01
"1962Q4",3.58682700e+03,1.70810000e+01
"1963Q1",3.62598100e+03,1.71650000e+01
"1963Q2",3.66666900e+03,1.71800000e+01
"1963Q3",3.74727800e+03,1.71990000e+01
"1963Q4",3.77184500e+03,1.73110000e+01
"1964Q1",3.85136600e+03,1.73760000e+01
"1964Q2",3.89329600e+03,1.74270000e+01
"1964Q3",3.95412100e+03,1.75130000e+01
"1964Q4",3.96633500e+03,1.75880000e+01
"1965Q1",4.06231100e+03,1.76650000e+01
"1965Q2",4.11362900e+03,1.77470000e+01
"1965Q3",4.20508600e+03,1.78280000e+01
"1965Q4",4.30197300e+03,1.79450000e+01
"1966Q1",4.40669300e+03,1.80540000e+01
"1966Q2",4.42174700e+03,1.82180000e+01
"1966Q3",4.45919500e+03,1.83780000e+01
"1966Q4",4.49577700e+03,1.85280000e+01
"1967Q1",4.53559100e+03,1.86050000e+01
"1967Q2",4.53837000e+03,1.87170000e+01
"1967Q3",4.58130900e+03,1.88850000e+01
"1967Q4",4.61585300e+03,1.90940000e+01
"1968Q1",4.70999300e+03,1.93020000e+01
"1968Q2",4.78868800e+03,1.95190000e+01
"1968Q3",4.82579900e+03,1.97060000e+01
"1968Q4",4.84477900e+03,1.99800000e+01
"1969Q1",4.92060500e+03,2.01800000e+01
"1969Q2",4.93556400e+03,2.04460000e+01
"1969Q3",4.96816400e+03,2.07370000e+01
"1969Q4",4.94393500e+03,2.09970000e+01
"1970Q1",4.93659400e+03,2.12860000e+01
"1970Q2",4.94360000e+03,2.15930000e+01
"1970Q3",4.98915900e+03,2.17700000e+01
"1970Q4",4.93569300e+03,2.20550000e+01
"1971Q1",5.06974600e+03,2.23890000e+01
"1971Q2",5.09717900e+03,2.26890000e+01
"1971Q3",5.13912800e+03,2.29170000e+01
"1971Q4",5.15124500e+03,2.31070000e+01
"1972Q1",5.24597400e+03,2.34780000e+01
"1972Q2",5.36504500e+03,2.36210000e+01
"1972Q3",5.41571200e+03,2.38350000e+01
"1972Q4",5.50639600e+03,2.41050000e+01
"1973Q1",5.64266900e+03,2.44120000e+01
"1973Q2",5.70409800e+03,2.48160000e+01
"1973Q3",5.67410000e+03,2.52900000e+01
"1973Q4",5.72796000e+03,2.57280000e+01
"1974Q1",5.67871300e+03,2.62490000e+01
"1974Q2",5.69221000e+03,2.68320000e+01
"1974Q3",5.63841100e+03,2.76590000e+01
"1974Q4",5.61652600e+03,2.84980000e+01
"1975Q1",5.54815600e+03,2.91420000e+01
"1975Q2",5.58780000e+03,2.95650000e+01
"1975Q3",5.68344400e+03,3.00870000e+01
"1975Q4",5.75997200e+03,3.05900000e+01
"1976Q1",5.88950000e+03,3.09250000e+01
"1976Q2",5.93271100e+03,3.12330000e+01
"1976Q3",5.96526500e+03,3.16320000e+01
"1976Q4",6.00850400e+03,3.21690000e+01
"1977Q1",6.07949400e+03,3.26890000e+01
"1977Q2",6.19768600e+03,3.32050000e+01
"1977Q3",6.30951400e+03,3.36620000e+01
"1977Q4",6.30965200e+03,3.42250000e+01
"1978Q1",6.32979100e+03,3.47860000e+01
"1978Q2",6.57439000e+03,3.54800000e+01
"1978Q3",6.64049700e+03,3.61060000e+01
"1978Q4",6.72975500e+03,3.68190000e+01
"1979Q1",6.74185400e+03,3.75070000e+01
"1979Q2",6.74906300e+03,3.84130000e+01
"1979Q3",6.79920000e+03,3.92150000e+01
"1979Q4",6.81620300e+03,3.99300000e+01
"1980Q1",6.83764100e+03,4.08040000e+01
"1980Q2",6.69675300e+03,4.17710000e+01
"1980Q3",6.68879400e+03,4.27030000e+01
"1980Q4",6.81353500e+03,4.38350000e+01
"1981Q1",6.94704200e+03,4.49970000e+01
"1981Q2",6.89555900e+03,4.58420000e+01
"1981Q3",6.97813500e+03,4.67330000e+01
"1981Q4",6.90210500e+03,4.75050000e+01
"1982Q1",6.79487800e+03,4.81860000e+01
"1982Q2",6.82587600e+03,4.88260000e+01
"1982Q3",6.79978100e+03,4.95040000e+01
"1982Q4",6.80249700e+03,5.00050000e+01
"1983Q1",6.89214400e+03,5.04040000e+01
"1983Q2",7.04898200e+03,5.07780000e+01
"1983Q3",7.18989600e+03,5.13180000e+01
"1983Q4",7.33989300e+03,5.17020000e+01
"1984Q1",7.48337100e+03,5.22120000e+01
"1984Q2",7.61266800e+03,5.26810000e+01
"1984Q3",7.68605900e+03,5.31570000e+01
"1984Q4",7.74915100e+03,5.35280000e+01
"1985Q1",7.82424700e+03,5.40760000e+01
"1985Q2",7.89313600e+03,5.43960000e+01
"1985Q3",8.01367400e+03,5.47570000e+01
"1985Q4",8.07323900e+03,5.50420000e+01
"1986Q1",8.14860300e+03,5.53130000e+01
"1986Q2",8.18530300e+03,5.55070000e+01
"1986Q3",8.26363900e+03,5.57710000e+01
"1986Q4",8.30802100e+03,5.61020000e+01
"1987Q1",8.36993000e+03,5.64270000e+01
"1987Q2",8.46023300e+03,5.68100000e+01
"1987Q3",8.53363500e+03,5.72480000e+01
"1987Q4",8.68016200e+03,5.76780000e+01
"1988Q1",8.72500600e+03,5.81240000e+01
"1988Q2",8.83964100e+03,5.87040000e+01
"1988Q3",8.89143500e+03,5.94230000e+01
"1988Q4",9.00991300e+03,5.99700000e+01
"1989Q1",9.10150800e+03,6.05470000e+01
"1989Q2",9.17097700e+03,6.12020000e+01
"1989Q3",9.23892300e+03,6.16560000e+01
"1989Q4",9.25712800e+03,6.20770000e+01
"1990Q1",9.35828900e+03,6.27530000e+01
"1990Q2",9.39225100e+03,6.34550000e+01
"1990Q3",9.39849900e+03,6.40040000e+01
"1990Q4",9.31293700e+03,6.44930000e+01
"1991Q1",9.26936700e+03,6.51200000e+01
"1991Q2",9.34164200e+03,6.55890000e+01
"1991Q3",9.38884500e+03,6.60920000e+01
"1991Q4",9.42156500e+03,6.64760000e+01
"1992Q1",9.53434600e+03,6.67430000e+01
"1992Q2",9.63773200e+03,6.71410000e+01
"1992Q3",9.73297900e+03,6.74620000e+01
"1992Q4",9.83451000e+03,6.79370000e+01
"1993Q1",9.85097300e+03,6.83410000e+01
"1993Q2",9.90834700e+03,6.87440000e+01
"1993Q3",9.95564100e+03,6.90890000e+01
"1993Q4",1.00910490e+04,6.94950000e+01
"1994Q1",1.01889540e+04,6.98510000e+01
"1994Q2",1.03270190e+04,7.01840000e+01
"1994Q3",1.03873820e+04,7.05580000e+01
"1994Q4",1.05063720e+04,7.09520000e+01
"1995Q1",1.05436440e+04,7.13560000e+01
"1995Q2",1.05751000e+04,7.17060000e+01
"1995Q3",1.06650600e+04,7.20270000e+01
"1995Q4",1.07374780e+04,7.23670000e+01
"1996Q1",1.08178960e+04,7.27000000e+01
"1996Q2",1.09983220e+04,7.29970000e+01
"1996Q3",1.10969760e+04,7.33520000e+01
"1996Q4",1.12122050e+04,7.36620000e+01
"1997Q1",1.12845870e+04,7.39920000e+01
"1997Q2",1.14721370e+04,7.43610000e+01
"1997Q3",1.16156360e+04,7.45810000e+01
"1997Q4",1.17153930e+04,7.48480000e+01
"1998Q1",1.18324860e+04,7.49240000e+01
"1998Q2",1.19420320e+04,7.51190000e+01
"1998Q3",1.20916140e+04,7.54100000e+01
"1998Q4",1.22870000e+04,7.56130000e+01
"1999Q1",1.24032930e+04,7.58590000e+01
"1999Q2",1.24986940e+04,7.61900000e+01
"1999Q3",1.26623850e+04,7.64720000e+01
"1999Q4",1.28775930e+04,7.68630000e+01
"2000Q1",1.29241790e+04,7.73890000e+01
"2000Q2",1.31608420e+04,7.78410000e+01
"2000Q3",1.31784190e+04,7.83150000e+01
"2000Q4",1.32605060e+04,7.87290000e+01
"2001Q1",1.32226900e+04,7.92320000e+01
"2001Q2",1.32999840e+04,7.97600000e+01
"2001Q3",1.32447840e+04,8.00100000e+01
"2001Q4",1.32808590e+04,8.02840000e+01
"2002Q1",1.33970020e+04,8.05030000e+01
"2002Q2",1.34781520e+04,8.08320000e+01
"2002Q3",1.35380720e+04,8.11770000e+01
"2002Q4",1.35590320e+04,8.16430000e+01
"2003Q1",1.36342530e+04,8.20470000e+01
"2003Q2",1.37515430e+04,8.22870000e+01
"2003Q3",1.39850730e+04,8.27380000e+01
"2003Q4",1.41456450e+04,8.31960000e+01
"2004Q1",1.42211470e+04,8.38240000e+01
"2004Q2",1.43295230e+04,8.45150000e+01
"2004Q3",1.44649840e+04,8.50600000e+01
"2004Q4",1.46098760e+04,8.57140000e+01
"2005Q1",1.47716020e+04,8.63680000e+01
"2005Q2",1.48397820e+04,8.69770000e+01
"2005Q3",1.49720540e+04,8.77940000e+01
"2005Q4",1.50665970e+04,8.84890000e+01
"2006Q1",1.52670260e+04,8.91010000e+01
"2006Q2",1.53027050e+04,8.98450000e+01
"2006Q3",1.53263680e+04,9.05050000e+01
"2006Q4",1.54569280e+04,9.08450000e+01
"2007Q1",1.54933280e+04,9.17770000e+01
"2007Q2",1.55820850e+04,9.23390000e+01
"2007Q3",1.56667380e+04,9.27250000e+01
"2007Q4",1.57619670e+04,9.31500000e+01
"2008Q1",1.56713830e+04,9.35690000e+01
"2008Q2",1.57523080e+04,9.39350000e+01
"2008Q3",1.56670320e+04,9.46540000e+01
"2008Q4",1.53280270e+04,9.48960000e+01
"2009Q1",1.51559400e+04,9.49590000e+01
"2009Q2",1.51341170e+04,9.48560000e+01
"2009Q3",1.51892220e+04,9.49120000e+01
"2009Q4",1.53560580e+04,9.52690000e+01
"2010Q1",1.54151450e+04,9.54910000e+01
"2010Q2",1.55572770e+04,9.59120000e+01
"2010Q3",1.56719670e+04,9.62510000e+01
"2010Q4",1.57506250e+04,9.67810000e+01
"2011Q1",1.57127540e+04,9.72760000e+01
"2011Q2",1.58250960e+04,9.79750000e+01
"2011Q3",1.58207000e+04,9.85190000e+01
"2011Q4",1.60041070e+04,9.86760000e+01
"2012Q1",1.61294180e+04,9.92840000e+01
"2012Q2",1.61988070e+04,9.96890000e+01
"2012Q3",1.62206670e+04,1.00299000e+02
"2012Q4",1.62391380e+04,1.00728000e+02
"2013Q1",1.63829640e+04,1.01123000e+02
"2013Q2",1.64031800e+04,1.01431000e+02
"2013Q3",1.65316850e+04,1.01985000e+02
"2013Q4",1.66636490e+04,1.02551000e+02
"2014Q1",1.66165400e+04,1.02960000e+02
"2014Q2",1.68414750e+04,1.03539000e+02
"2014Q3",1.70470980e+04,1.04010000e+02
"2014Q4",1.71430380e+04,1.04078000e+02
"2015Q1",1.72775800e+04,1.04072000e+02
"2015Q2",1.74056690e+04,1.04684000e+02
"2015Q3",1.74632220e+04,1.05000000e+02
"2015Q4",1.74689020e+04,1.04997000e+02
"2016Q1",1.75568390e+04,1.04933000e+02
"2016Q2",1.76394170e+04,1.05618000e+02
"2016Q3",1.77350740e+04,1.05987000e+02
"2016Q4",1.78242310e+04,1.06543000e+02
"2017Q1",1.79252560e+04,1.07040000e+02
"2017Q2",1.80210480e+04,1.07394000e+02
"2017Q3",1.81635580e+04,1.08032000e+02
"2017Q4",1.83224640e+04,1.08715000e+02
"2018Q1",1.84382540e+04,1.09341000e+02
"2018Q2",1.85981350e+04,1.10209000e+02
"2018Q3",1.87327200e+04,1.10765000e+02
"2018Q4",1.87835480e+04,1.11212000e+02
"2019Q1",1.89272810e+04,1.11504000e+02
"2019Q2",1.90218600e+04,1.12173000e+02
"2019Q3",1.91211120e+04,1.12679000e+02