,SP500
1995-01-03,459.11
1995-01-04,460.71
1995-01-05,460.34
1995-01-06,460.68
1995-01-09,460.83
1995-01-10,461.68
1995-01-11,461.66
1995-01-12,461.64
1995-01-13,465.97
1995-01-16,469.38
1995-01-17,470.05
1995-01-18,469.72
1995-01-19,466.95
1995-01-20,464.78
1995-01-23,465.81
1995-01-24,465.86
1995-01-25,467.44
1995-01-26,468.32
1995-01-27,470.39
1995-01-30,468.51
1995-01-31,470.42
1995-02-01,470.40
1995-02-02,472.78
1995-02-03,478.64
1995-02-06,481.14
1995-02-07,480.81
1995-02-08,481.19
1995-02-09,480.19
1995-02-10,481.46
1995-02-13,481.65
1995-02-14,482.55
1995-02-15,484.54
1995-02-16,485.22
1995-02-17,481.97
1995-02-21,482.74
1995-02-22,485.07
1995-02-23,486.91
1995-02-24,488.11
1995-02-27,483.81
1995-02-28,487.39
1995-03-01,485.65
1995-03-02,485.13
1995-03-03,485.42
1995-03-06,485.63
1995-03-07,482.12
1995-03-08,483.14
1995-03-09,483.16
1995-03-10,489.57
1995-03-13,490.05
1995-03-14,492.89
1995-03-15,491.88
1995-03-16,495.41
1995-03-17,495.52
1995-03-20,496.15
1995-03-21,495.07
1995-03-22,495.67
1995-03-23,495.95
1995-03-24,500.97
1995-03-27,503.20
1995-03-28,503.90
1995-03-29,503.12
1995-03-30,502.22
1995-03-31,500.71
1995-04-03,501.85
1995-04-04,505.24
1995-04-05,505.57
1995-04-06,506.08
1995-04-07,506.42
1995-04-10,507.01
1995-04-11,505.53
1995-04-12,507.17
1995-04-13,509.23
1995-04-17,506.13
1995-04-18,505.37
1995-04-19,504.92
1995-04-20,505.29
1995-04-21,508.49
1995-04-24,512.89
1995-04-25,512.10
1995-04-26,512.66
1995-04-27,513.55
1995-04-28,514.71
1995-05-01,514.26
1995-05-02,514.86
1995-05-03,520.48
1995-05-04,520.54
1995-05-05,520.12
1995-05-08,523.96
1995-05-09,523.56
1995-05-10,524.36
1995-05-11,524.37
1995-05-12,525.55
1995-05-15,527.74
1995-05-16,528.19
1995-05-17,527.07
1995-05-18,519.58
1995-05-19,519.19
1995-05-22,523.65
1995-05-23,528.59
1995-05-24,528.61
1995-05-25,528.59
1995-05-26,523.65
1995-05-30,523.58
1995-05-31,533.40
1995-06-01,533.49
1995-06-02,532.51
1995-06-05,535.60
1995-06-06,535.55
1995-06-07,533.13
1995-06-08,532.35
1995-06-09,527.94
1995-06-12,530.88
1995-06-13,536.05
1995-06-14,536.47
1995-06-15,537.12
1995-06-16,539.83
1995-06-19,545.22
1995-06-20,544.98
1995-06-21,543.98
1995-06-22,551.07
1995-06-23,549.71
1995-06-26,544.13
1995-06-27,542.43
1995-06-28,544.73
1995-06-29,543.87
1995-06-30,544.75
1995-07-03,547.09
1995-07-05,547.26
1995-07-06,553.99
1995-07-07,556.37
1995-07-10,557.19
1995-07-11,554.78
1995-07-12,560.89
1995-07-13,561.00
1995-07-14,559.89
1995-07-17,562.72
1995-07-18,558.46
1995-07-19,550.98
1995-07-20,553.54
1995-07-21,553.62
1995-07-24,556.63
1995-07-25,561.10
1995-07-26,561.61
1995-07-27,565.22
1995-07-28,562.93
1995-07-31,562.06
1995-08-01,559.64
1995-08-02,558.80
1995-08-03,558.75
1995-08-04,558.94
1995-08-07,560.03
1995-08-08,560.39
1995-08-09,559.71
1995-08-10,557.45
1995-08-11,555.11
1995-08-14,559.74
1995-08-15,558.57
1995-08-16,559.97
1995-08-17,559.04
1995-08-18,559.21
1995-08-21,558.11
1995-08-22,559.52
1995-08-23,557.14
1995-08-24,557.46
1995-08-25,560.10
1995-08-28,559.05
1995-08-29,560.00
1995-08-30,560.92
1995-08-31,561.88
1995-09-01,563.84
1995-09-05,569.17
1995-09-06,570.17
1995-09-07,570.29
1995-09-08,572.68
1995-09-11,573.91
1995-09-12,576.51
1995-09-13,578.77
1995-09-14,583.61
1995-09-15,583.35
1995-09-18,582.77
1995-09-19,584.20
1995-09-20,586.77
1995-09-21,583.00
1995-09-22,581.73
1995-09-25,581.81
1995-09-26,581.41
1995-09-27,581.04
1995-09-28,585.87
1995-09-29,584.41
1995-10-02,581.72
1995-10-03,582.34
1995-10-04,581.47
1995-10-05,582.63
1995-10-06,582.49
1995-10-09,578.37
1995-10-10,577.52
1995-10-11,579.46
1995-10-12,583.10
1995-10-13,584.50
1995-10-16,583.03
1995-10-17,586.78
1995-10-18,587.44
1995-10-19,590.65
1995-10-20,587.46
1995-10-23,585.06
1995-10-24,586.54
1995-10-25,582.47
1995-10-26,576.72
1995-10-27,579.70
1995-10-30,583.25
1995-10-31,581.50
1995-11-01,584.22
1995-11-02,589.72
1995-11-03,590.57
1995-11-06,588.46
1995-11-07,586.32
1995-11-08,591.71
1995-11-09,593.26
1995-11-10,592.72
1995-11-13,592.30
1995-11-14,589.29
1995-11-15,593.96
1995-11-16,597.34
1995-11-17,600.07
1995-11-20,596.85
1995-11-21,600.24
1995-11-22,598.40
1995-11-24,599.97
1995-11-27,601.32
1995-11-28,606.45
1995-11-29,607.64
1995-11-30,605.37
1995-12-01,606.98
1995-12-04,613.68
1995-12-05,617.68
1995-12-06,620.18
1995-12-07,616.17
1995-12-08,617.48
1995-12-11,619.52
1995-12-12,618.78
1995-12-13,621.69
1995-12-14,616.92
1995-12-15,616.34
1995-12-18,606.81
1995-12-19,611.93
1995-12-20,605.94
1995-12-21,610.49
1995-12-22,611.96
1995-12-26,614.30
1995-12-27,614.53
1995-12-28,614.12
1995-12-29,615.93
1996-01-02,620.73
1996-01-03,621.32
1996-01-04,617.70
1996-01-05,616.71
1996-01-08,618.46
1996-01-09,609.45
1996-01-10,598.48
1996-01-11,602.69
1996-01-12,601.81
1996-01-15,599.82
1996-01-16,608.44
1996-01-17,606.37
1996-01-18,608.24
1996-01-19,611.83
1996-01-22,613.40
1996-01-23,612.79
1996-01-24,619.96
1996-01-25,617.03
1996-01-26,621.62
1996-01-29,624.22
1996-01-30,630.15
1996-01-31,636.02
1996-02-01,638.46
1996-02-02,635.84
1996-02-05,641.43
1996-02-06,646.33
1996-02-07,649.93
1996-02-08,656.07
1996-02-09,656.37
1996-02-12,661.45
1996-02-13,660.51
1996-02-14,655.58
1996-02-15,651.32
1996-02-16,647.98
1996-02-20,640.65
1996-02-21,648.10
1996-02-22,658.86
1996-02-23,659.08
1996-02-26,650.46
1996-02-27,647.24
1996-02-28,644.75
1996-02-29,640.43
1996-03-01,644.37
1996-03-04,650.81
1996-03-05,655.79
1996-03-06,652.00
1996-03-07,653.65
1996-03-08,633.50
1996-03-11,640.02
1996-03-12,637.09
1996-03-13,638.55
1996-03-14,640.87
1996-03-15,641.43
1996-03-18,652.65
1996-03-19,651.69
1996-03-20,649.98
1996-03-21,649.19
1996-03-22,650.62
1996-03-25,650.04
1996-03-26,652.97
1996-03-27,648.91
1996-03-28,648.94
1996-03-29,645.50
1996-04-01,653.73
1996-04-02,655.26
1996-04-03,655.88
1996-04-04,655.86
1996-04-08,644.24
1996-04-09,642.19
1996-04-10,633.50
1996-04-11,631.18
1996-04-12,636.71
1996-04-15,642.49
1996-04-16,645.00
1996-04-17,641.61
1996-04-18,643.61
1996-04-19,645.07
1996-04-22,647.89
1996-04-23,651.58
1996-04-24,650.17
1996-04-25,652.87
1996-04-26,653.46
1996-04-29,654.16
1996-04-30,654.17
1996-05-01,654.58
1996-05-02,643.38
1996-05-03,641.63
1996-05-06,640.81
1996-05-07,638.26
1996-05-08,644.77
1996-05-09,645.44
1996-05-10,652.09
1996-05-13,661.51
1996-05-14,665.60
1996-05-15,665.42
1996-05-16,664.85
1996-05-17,668.91
1996-05-20,673.15
1996-05-21,672.76
1996-05-22,678.42
1996-05-23,676.00
1996-05-24,678.51
1996-05-28,672.23
1996-05-29,667.93
1996-05-30,671.70
1996-05-31,669.12
1996-06-03,667.68
1996-06-04,672.56
1996-06-05,678.44
1996-06-06,673.03
1996-06-07,673.31
1996-06-10,672.16
1996-06-11,670.97
1996-06-12,669.04
1996-06-13,667.92
1996-06-14,665.85
1996-06-17,665.16
1996-06-18,662.06
1996-06-19,661.96
1996-06-20,662.10
1996-06-21,666.84
1996-06-24,668.85
1996-06-25,668.48
1996-06-26,664.39
1996-06-27,668.55
1996-06-28,670.63
1996-07-01,675.88
1996-07-02,673.61
1996-07-03,672.40
1996-07-05,657.44
1996-07-08,652.54
1996-07-09,654.75
1996-07-10,656.06
1996-07-11,645.67
1996-07-12,646.19
1996-07-15,629.80
1996-07-16,628.37
1996-07-17,634.07
1996-07-18,643.56
1996-07-19,638.73
1996-07-22,633.77
1996-07-23,626.87
1996-07-24,626.65
1996-07-25,631.17
1996-07-26,635.90
1996-07-29,630.91
1996-07-30,635.26
1996-07-31,639.95
1996-08-01,650.02
1996-08-02,662.49
1996-08-05,660.23
1996-08-06,662.38
1996-08-07,664.16
1996-08-08,662.59
1996-08-09,662.10
1996-08-12,665.77
1996-08-13,660.20
1996-08-14,662.05
1996-08-15,662.28
1996-08-16,665.21
1996-08-19,666.58
1996-08-20,665.69
1996-08-21,665.07
1996-08-22,670.68
1996-08-23,667.03
1996-08-26,663.88
1996-08-27,666.40
1996-08-28,664.81
1996-08-29,657.40
1996-08-30,651.99
1996-09-03,654.72
1996-09-04,655.61
1996-09-05,649.44
1996-09-06,655.68
1996-09-09,663.76
1996-09-10,663.81
1996-09-11,667.28
1996-09-12,671.15
1996-09-13,680.54
1996-09-16,683.98
1996-09-17,682.94
1996-09-18,681.47
1996-09-19,683.00
1996-09-20,687.03
1996-09-23,686.48
1996-09-24,685.61
1996-09-25,685.83
1996-09-26,685.86
1996-09-27,686.19
1996-09-30,687.31
1996-10-01,689.08
1996-10-02,694.01
1996-10-03,692.78
1996-10-04,701.46
1996-10-07,703.34
1996-10-08,700.64
1996-10-09,696.74
1996-10-10,694.61
1996-10-11,700.66
1996-10-14,703.54
1996-10-15,702.57
1996-10-16,704.41
1996-10-17,706.99
1996-10-18,710.82
1996-10-21,709.85
1996-10-22,706.57
1996-10-23,707.27
1996-10-24,702.29
1996-10-25,700.92
1996-10-28,697.26
1996-10-29,701.50
1996-10-30,700.90
1996-10-31,705.27
1996-11-01,703.77
1996-11-04,706.73
1996-11-05,714.14
1996-11-06,724.59
1996-11-07,727.65
1996-11-08,730.82
1996-11-11,731.87
1996-11-12,729.56
1996-11-13,731.13
1996-11-14,735.88
1996-11-15,737.62
1996-11-18,737.02
1996-11-19,742.16
1996-11-20,743.95
1996-11-21,742.75
1996-11-22,748.73
1996-11-25,757.03
1996-11-26,755.96
1996-11-27,755.00
1996-11-29,757.02
1996-12-02,756.56
1996-12-03,748.28
1996-12-04,745.10
1996-12-05,744.38
1996-12-06,739.60
1996-12-09,749.81
1996-12-10,747.54
1996-12-11,740.73
1996-12-12,729.33
1996-12-13,728.64
1996-12-16,720.98
1996-12-17,726.04
1996-12-18,731.54
1996-12-19,745.76
1996-12-20,748.87
1996-12-23,746.92
1996-12-24,751.03
1996-12-26,755.82
1996-12-27,756.79
1996-12-30,753.85
1996-12-31,740.74
1997-01-02,737.01
1997-01-03,748.03
1997-01-06,747.65
1997-01-07,753.23
1997-01-08,748.41
1997-01-09,754.85
1997-01-10,759.50
1997-01-13,759.51
1997-01-14,768.86
1997-01-15,767.20
1997-01-16,769.75
1997-01-17,776.17
1997-01-20,776.70
1997-01-21,782.72
1997-01-22,786.23
1997-01-23,777.56
1997-01-24,770.52
1997-01-27,765.02
1997-01-28,765.02
1997-01-29,772.50
1997-01-30,784.17
1997-01-31,786.16
1997-02-03,786.73
1997-02-04,789.26
1997-02-05,778.28
1997-02-06,780.15
1997-02-07,789.56
1997-02-10,785.43
1997-02-11,789.59
1997-02-12,802.77
1997-02-13,811.82
1997-02-14,808.48
1997-02-18,816.29
1997-02-19,812.49
1997-02-20,802.80
1997-02-21,801.77
1997-02-24,810.28
1997-02-25,812.10
1997-02-26,805.68
1997-02-27,795.07
1997-02-28,790.82
1997-03-03,795.31
1997-03-04,790.95
1997-03-05,801.99
1997-03-06,798.56
1997-03-07,804.97
1997-03-10,813.65
1997-03-11,811.34
1997-03-12,804.26
1997-03-13,789.56
1997-03-14,793.17
1997-03-17,795.71
1997-03-18,789.66
1997-03-19,785.77
1997-03-20,782.65
1997-03-21,784.10
1997-03-24,790.89
1997-03-25,789.07
1997-03-26,790.50
1997-03-27,773.88
1997-03-31,757.12
1997-04-01,759.64
1997-04-02,750.11
1997-04-03,750.32
1997-04-04,757.90
1997-04-07,762.13
1997-04-08,766.12
1997-04-09,760.60
1997-04-10,758.34
1997-04-11,737.65
1997-04-14,743.73
1997-04-15,754.72
1997-04-16,763.53
1997-04-17,761.77
1997-04-18,766.34
1997-04-21,760.37
1997-04-22,774.61
1997-04-23,773.64
1997-04-24,771.18
1997-04-25,765.37
1997-04-28,772.96
1997-04-29,794.05
1997-04-30,801.34
1997-05-01,798.53
1997-05-02,812.97
1997-05-05,830.24
1997-05-06,827.76
1997-05-07,815.62
1997-05-08,820.26
1997-05-09,824.78
1997-05-12,837.66
1997-05-13,833.13
1997-05-14,836.04
1997-05-15,841.88
1997-05-16,829.75
1997-05-19,833.27
1997-05-20,841.66
1997-05-21,839.35
1997-05-22,835.66
1997-05-23,847.03
1997-05-27,849.71
1997-05-28,847.21
1997-05-29,844.08
1997-05-30,848.28
1997-06-02,846.36
1997-06-03,845.48
1997-06-04,840.11
1997-06-05,843.43
1997-06-06,858.01
1997-06-09,862.91
1997-06-10,865.27
1997-06-11,869.57
1997-06-12,883.48
1997-06-13,893.27
1997-06-16,893.90
1997-06-17,894.42
1997-06-18,889.06
1997-06-19,897.99
1997-06-20,898.70
1997-06-23,878.62
1997-06-24,896.34
1997-06-25,888.99
1997-06-26,883.68
1997-06-27,887.30
1997-06-30,885.14
1997-07-01,891.03
1997-07-02,904.03
1997-07-03,916.92
1997-07-07,912.20
1997-07-08,918.75
1997-07-09,907.54
1997-07-10,913.78
1997-07-11,916.68
1997-07-14,918.38
1997-07-15,925.76
1997-07-16,936.59
1997-07-17,931.61
1997-07-18,915.30
1997-07-21,912.94
1997-07-22,933.98
1997-07-23,936.56
1997-07-24,940.30
1997-07-25,938.79
1997-07-28,936.45
1997-07-29,942.29
1997-07-30,952.29
1997-07-31,954.29
1997-08-01,947.14
1997-08-04,950.30
1997-08-05,952.37
1997-08-06,960.32
1997-08-07,951.19
1997-08-08,933.54
1997-08-11,937.00
1997-08-12,926.53
1997-08-13,922.02
1997-08-14,924.77
1997-08-15,900.81
1997-08-18,912.49
1997-08-19,926.01
1997-08-20,939.35
1997-08-21,925.05
1997-08-22,923.55
1997-08-25,920.16
1997-08-26,913.02
1997-08-27,913.70
1997-08-28,903.67
1997-08-29,899.47
1997-09-02,927.58
1997-09-03,927.86
1997-09-04,930.87
1997-09-05,929.05
1997-09-08,931.20
1997-09-09,933.62
1997-09-10,919.03
1997-09-11,912.59
1997-09-12,923.91
1997-09-15,919.77
1997-09-16,945.64
1997-09-17,943.00
1997-09-18,947.29
1997-09-19,950.51
1997-09-22,955.43
1997-09-23,951.93
1997-09-24,944.48
1997-09-25,937.91
1997-09-26,945.22
1997-09-29,953.34
1997-09-30,947.28
1997-10-01,955.41
1997-10-02,960.46
1997-10-03,965.03
1997-10-06,972.69
1997-10-07,983.12
1997-10-08,973.84
1997-10-09,970.62
1997-10-10,966.98
1997-10-13,968.10
1997-10-14,970.28
1997-10-15,965.72
1997-10-16,955.23
1997-10-17,944.16
1997-10-20,955.61
1997-10-21,972.28
1997-10-22,968.49
1997-10-23,950.69
1997-10-24,941.64
1997-10-27,876.99
1997-10-28,921.85
1997-10-29,919.16
1997-10-30,903.68
1997-10-31,914.62
1997-11-03,938.99
1997-11-04,940.76
1997-11-05,942.76
1997-11-06,938.03
1997-11-07,927.51
1997-11-10,921.13
1997-11-11,923.78
1997-11-12,905.96
1997-11-13,916.66
1997-11-14,928.35
1997-11-17,946.20
1997-11-18,938.23
1997-11-19,944.59
1997-11-20,958.98
1997-11-21,963.09
1997-11-24,946.67
1997-11-25,950.82
1997-11-26,951.64
1997-11-28,955.40
1997-12-01,974.78
1997-12-02,971.68
1997-12-03,976.77
1997-12-04,973.10
1997-12-05,983.79
1997-12-08,982.37
1997-12-09,975.78
1997-12-10,969.79
1997-12-11,954.94
1997-12-12,953.39
1997-12-15,963.39
1997-12-16,968.04
1997-12-17,965.54
1997-12-18,955.30
1997-12-19,946.78
1997-12-22,953.70
1997-12-23,939.13
1997-12-24,932.70
1997-12-26,936.46
1997-12-29,953.35
1997-12-30,970.84
1997-12-31,970.43
1998-01-02,975.04
1998-01-05,977.07
1998-01-06,966.58
1998-01-07,964.00
1998-01-08,956.05
1998-01-09,927.69
1998-01-12,939.21
1998-01-13,952.12
1998-01-14,957.94
1998-01-15,950.73
1998-01-16,961.51
1998-01-20,978.60
1998-01-21,970.81
1998-01-22,963.04
1998-01-23,957.59
1998-01-26,956.95
1998-01-27,969.02
1998-01-28,977.46
1998-01-29,985.49
1998-01-30,980.28
1998-02-02,1001.27
1998-02-03,1006.00
1998-02-04,1006.90
1998-02-05,1003.54
1998-02-06,1012.46
1998-02-09,1010.74
1998-02-10,1019.01
1998-02-11,1020.01
1998-02-12,1024.14
1998-02-13,1020.09
1998-02-17,1022.76
1998-02-18,1032.08
1998-02-19,1028.28
1998-02-20,1034.21
1998-02-23,1038.14
1998-02-24,1030.56
1998-02-25,1042.90
1998-02-26,1048.67
1998-02-27,1049.34
1998-03-02,1047.70
1998-03-03,1052.02
1998-03-04,1047.33
1998-03-05,1035.05
1998-03-06,1055.69
1998-03-09,1052.31
1998-03-10,1064.25
1998-03-11,1068.47
1998-03-12,1069.92
1998-03-13,1068.61
1998-03-16,1079.27
1998-03-17,1080.45
1998-03-18,1085.52
1998-03-19,1089.74
1998-03-20,1099.16
1998-03-23,1095.55
1998-03-24,1105.65
1998-03-25,1101.93
1998-03-26,1100.80
1998-03-27,1095.44
1998-03-30,1093.55
1998-03-31,1101.75
1998-04-01,1108.15
1998-04-02,1120.01
1998-04-03,1122.70
1998-04-06,1121.38
1998-04-07,1109.54
1998-04-08,1101.65
1998-04-09,1110.67
1998-04-13,1109.69
1998-04-14,1115.75
1998-04-15,1119.32
1998-04-16,1108.17
1998-04-17,1122.72
1998-04-20,1123.65
1998-04-21,1126.67
1998-04-22,1130.54
1998-04-23,1119.58
1998-04-24,1107.90
1998-04-27,1086.54
1998-04-28,1085.11
1998-04-29,1094.63
1998-04-30,1111.75
1998-05-01,1121.00
1998-05-04,1122.07
1998-05-05,1115.50
1998-05-06,1104.92
1998-05-07,1095.14
1998-05-08,1108.14
1998-05-11,1106.64
1998-05-12,1115.79
1998-05-13,1118.86
1998-05-14,1117.37
1998-05-15,1108.73
1998-05-18,1105.82
1998-05-19,1109.52
1998-05-20,1119.06
1998-05-21,1114.64
1998-05-22,1110.47
1998-05-26,1094.02
1998-05-27,1092.23
1998-05-28,1097.60
1998-05-29,1090.82
1998-06-01,1090.98
1998-06-02,1093.22
1998-06-03,1082.73
1998-06-04,1094.83
1998-06-05,1113.86
1998-06-08,1115.72
1998-06-09,1118.41
1998-06-10,1112.28
1998-06-11,1094.58
1998-06-12,1098.84
1998-06-15,1077.01
1998-06-16,1087.59
1998-06-17,1107.11
1998-06-18,1106.37
1998-06-19,1100.65
1998-06-22,1103.21
1998-06-23,1119.49
1998-06-24,1132.88
1998-06-25,1129.28
1998-06-26,1133.20
1998-06-29,1138.49
1998-06-30,1133.84
1998-07-01,1148.56
1998-07-02,1146.42
1998-07-06,1157.33
1998-07-07,1154.66
1998-07-08,1166.38
1998-07-09,1158.56
1998-07-10,1164.33
1998-07-13,1165.19
1998-07-14,1177.58
1998-07-15,1174.81
1998-07-16,1183.99
1998-07-17,1186.75
1998-07-20,1184.10
1998-07-21,1165.07
1998-07-22,1164.08
1998-07-23,1139.75
1998-07-24,1140.80
1998-07-27,1147.27
1998-07-28,1130.24
1998-07-29,1125.21
1998-07-30,1142.95
1998-07-31,1120.67
1998-08-03,1112.44
1998-08-04,1072.12
1998-08-05,1081.43
1998-08-06,1089.63
1998-08-07,1089.45
1998-08-10,1083.14
1998-08-11,1068.98
1998-08-12,1084.22
1998-08-13,1074.91
1998-08-14,1062.75
1998-08-17,1083.67
1998-08-18,1101.20
1998-08-19,1098.06
1998-08-20,1091.60
1998-08-21,1081.24
1998-08-24,1088.14
1998-08-25,1092.85
1998-08-26,1084.19
1998-08-27,1042.59
1998-08-28,1027.14
1998-08-31,957.28
1998-09-01,994.26
1998-09-02,990.47
1998-09-03,982.26
1998-09-04,973.89
1998-09-08,1023.46
1998-09-09,1006.20
1998-09-10,980.19
1998-09-11,1009.06
1998-09-14,1029.72
1998-09-15,1037.68
1998-09-16,1045.48
1998-09-17,1018.87
1998-09-18,1020.09
1998-09-21,1023.89
1998-09-22,1029.63
1998-09-23,1066.09
1998-09-24,1042.72
1998-09-25,1044.75
1998-09-28,1048.69
1998-09-29,1049.02
1998-09-30,1017.01
1998-10-01,986.39
1998-10-02,1002.60
1998-10-05,988.56
1998-10-06,984.59
1998-10-07,970.68
1998-10-08,959.44
1998-10-09,984.39
1998-10-12,997.71
1998-10-13,994.80
1998-10-14,1005.53
1998-10-15,1047.49
1998-10-16,1056.42
1998-10-19,1062.39
1998-10-20,1063.93
1998-10-21,1069.92
1998-10-22,1078.48
1998-10-23,1070.67
1998-10-26,1072.32
1998-10-27,1065.34
1998-10-28,1068.09
1998-10-29,1085.93
1998-10-30,1098.67
1998-11-02,1111.60
1998-11-03,1110.84
1998-11-04,1118.67
1998-11-05,1133.85
1998-11-06,1141.01
1998-11-09,1130.20
1998-11-10,1128.26
1998-11-11,1120.97
1998-11-12,1117.69
1998-11-13,1125.72
1998-11-16,1135.87
1998-11-17,1139.32
1998-11-18,1144.48
1998-11-19,1152.61
1998-11-20,1163.55
1998-11-23,1188.21
1998-11-24,1182.99
1998-11-25,1186.87
1998-11-27,1192.33
1998-11-30,1163.63
1998-12-01,1175.28
1998-12-02,1171.25
1998-12-03,1150.14
1998-12-04,1176.74
1998-12-07,1187.70
1998-12-08,1181.38
1998-12-09,1183.49
1998-12-10,1165.02
1998-12-11,1166.46
1998-12-14,1141.20
1998-12-15,1162.83
1998-12-16,1161.94
1998-12-17,1179.98
1998-12-18,1188.03
1998-12-21,1202.84
1998-12-22,1203.57
1998-12-23,1228.54
1998-12-24,1226.27
1998-12-28,1225.49
1998-12-29,1241.81
1998-12-30,1231.93
1998-12-31,1229.23
1999-01-04,1228.10
1999-01-05,1244.78
1999-01-06,1272.34
1999-01-07,1269.73
1999-01-08,1275.09
1999-01-11,1263.88
1999-01-12,1239.51
1999-01-13,1234.40
1999-01-14,1212.19
1999-01-15,1243.26
1999-01-19,1252.00
1999-01-20,1256.62
1999-01-21,1235.16
1999-01-22,1225.19
1999-01-25,1233.98
1999-01-26,1252.31
1999-01-27,1243.17
1999-01-28,1265.37
1999-01-29,1279.64
1999-02-01,1273.00
1999-02-02,1261.99
1999-02-03,1272.07
1999-02-04,1248.49
1999-02-05,1239.40
